"TABLE_NAME","통계행수","통계수집일"
BASICSETTING_20230420,238627,2023-04-20 22:00:03.000
BASICSETTING_20230314,218241,2023-03-14 22:00:06.000
BASICSETTING_20230206,191896,2023-02-06 22:00:05.000
BASICSETTING_20220915,175714,2022-09-16 22:00:06.000
CON_PROF_INFO20241224,165067,2024-12-24 22:00:15.000
CON_PROF_INFO_20241113,161508,2024-11-13 22:00:29.000
CON_PROF_INFO_20220908,122436,2022-09-08 22:00:03.000
V_USR_INF_20230905,103864,2023-09-05 22:00:03.000
V_USR_INF_20230116,100705,2023-01-16 22:00:03.000
V_USR_INF_20221104,100688,2022-11-04 22:00:06.000
CON_PROF_INFO_20210316,97343,2021-03-16 22:00:07.000
V_USR_INF_20200604,94114,2020-06-04 22:00:06.000
CON_PROF_INFO_FILE_MIG,85716,2020-09-07 22:00:05.000
CON_PROF_INFO_MIG,85680,2020-09-04 22:00:03.000
COUNSEL_MASTER_MIG,39312,2020-06-14 22:04:05.000
EP_PRM_APP_20230921,23747,2023-09-21 22:00:06.000
EP_PRM_APP_20230322,20570,2023-03-22 22:00:03.000
EP_PRM_APP_ADD_REQ_RST20250116,17021,2025-01-16 22:00:03.000
EP_PRM_RESULT_20250630,11926,2025-06-30 22:00:06.000
CO_ADVISER_20210928,10995,2021-09-28 22:00:06.000
CO_ADVISER_20220914,10990,2022-09-14 22:00:06.000
STU_COURSE_INFO_20221107,10123,2022-11-07 22:00:06.000
CO_ADVISER_MIG,9123,2020-08-13 22:00:05.000
EP_PRM_RESULT_20250520_MIG,8447,2025-05-26 22:00:06.000
EX_ITEM_APP_20251020,8427,2025-10-20 22:00:03.000
CON_PROF_INFO_MIG_2020,4373,2020-06-26 22:00:06.000
SY_CODE_20250228,3874,2025-02-28 22:00:06.000
SY_CODE_20240328,3867,2024-03-28 22:00:06.000
EP_PRM_RESULT_TMP,2883,2025-05-26 22:00:06.000
EP_PRM_RESULT_TMP_20250520_MIG,2883,2025-05-26 22:00:06.000
COUNSEL_GROUP_LIST_MIG,2685,2020-06-15 22:00:06.000
PROFESSORFILEMASTER_MIG,2448,2020-09-07 22:00:05.000
ONLINEFILEMASTER_MIG,2042,2020-09-07 22:00:05.000
CHECKHOLLAND_MIG,1400,2020-06-15 22:00:06.000
V_DEP_INF_ALL_20221104,1175,2022-11-04 22:00:06.000
SY_MENU_AUTH_20230901,1058,2023-09-01 22:00:02.000
CON_PROF_INFO_20201110,1051,2020-11-10 22:00:05.000
CO_ADVISER_BAK,1006,2020-08-13 22:00:05.000
V_DEP_INF_20221104,876,2022-11-04 22:00:06.000
SY_MENU_AUTH_20250301,875,2025-03-01 14:01:50.000
FILEMASTER_MIG,734,2020-09-07 22:00:04.000
CHECKCHARACTER_MIG,662,2020-06-15 22:00:06.000
COUNSEL_GROUP_MASTER_MIG,650,2020-06-15 22:00:07.000
CHECKTA_MIG,451,2020-06-15 22:00:06.000
EP_PRM_ADD_REQ20250116,405,2025-01-16 22:00:02.000
CO_SMART_SCORE_LIST_BAK,395,2020-09-25 22:00:03.000
EP_PRM_ADD_REQ_ART20250116,385,2025-01-16 22:00:02.000
CHECKUANDI_MIG,307,2020-06-15 22:00:06.000
SY_MENU_20250301,305,2025-03-01 14:01:50.000
CO_SMART_SCORE_BAK,217,2020-09-25 22:00:03.000
CHECKENNEAGRAM_MIG,150,2020-06-15 22:00:06.000
CHECKUANDICAREER_MIG,144,2020-06-15 22:00:06.000
CHECKMMPI2_MIG,130,2020-06-15 22:00:06.000
CON_TEMP,115,2020-06-30 22:00:01.000
V_USR_INF_DUP_INF_20230116,95,2023-01-16 22:00:03.000
TB_CARR_USER_MIG,69,2025-07-14 22:00:05.000
SY_AUTH_USER_20250301,43,2025-03-01 14:01:50.000
V_USR_INF_TMP,39,2020-11-10 22:00:05.000
CHECKMLST_MIG,38,2020-06-15 22:00:06.000
SY_AUTH_USER_20230901,30,2023-09-01 22:00:02.000
TB_CARR_GJOB_PGM_APLC_MIG,28,2025-07-14 22:00:05.000
SY_AUTH_USER_20230909,24,2023-09-08 22:00:06.000
TB_CARR_USER_LOGIN_20250712,24,2025-07-12 18:07:54.000
CON_PROF_INFO_20200805,18,2020-08-05 22:00:02.000
TEMP_20250716,14,2025-07-16 22:00:06.000
SY_AUTH_20250301,13,2025-03-01 14:01:50.000
EP_PRM_RESULT_TMP_20250526_MIG,7,2025-05-26 22:00:06.000
COUNSEL_GROUP_MASTER_BAK,2,2020-06-14 22:04:05.000
CO_ADVISER_TEMP,0,2023-03-22 22:00:15.000
CHECK_MBTI_MIG,0,2020-06-15 22:00:06.000
